Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,219.2899932861328,220.85000610351562,218.27000427246094,220.49000549316406,219.2628173828125,1845600
2020-12-23,221.27000427246094,223.60000610351562,217.3800048828125,217.39999389648438,216.19000244140625,1553400
2020-12-24,216.44000244140625,219.38999938964844,216.19000244140625,218.64999389648438,218.64999389648438,705700
2020-12-28,218.8699951171875,221.4499969482422,217.42999267578125,221.07000732421875,221.07000732421875,1842500
2020-12-29,222.2100067138672,223.4199981689453,220.4199981689453,220.47999572753906,220.47999572753906,1283000
2020-12-30,220.50999450683594,221.52999877929688,219.35000610351562,220.33999633789062,220.33999633789062,1361300
2020-12-31,219.75999450683594,224.6699981689453,219.60000610351562,224.4600067138672,224.4600067138672,1669300
2021-01-04,226.07000732421875,226.2100067138672,219.27000427246094,219.60000610351562,219.60000610351562,2786400
2021-01-05,220.1199951171875,222.60000610351562,219.08999633789062,220.7100067138672,220.7100067138672,2481600
2021-01-06,219.5,219.67999267578125,214.55999755859375,214.88999938964844,214.88999938964844,3230900
2021-01-07,215.27000427246094,219.50999450683594,214.67999267578125,217.5,217.5,2933800
2021-01-08,218.24000549316406,223.82000732421875,218.11000061035156,222.1999969482422,222.1999969482422,2310400
2021-01-11,221.25999450683594,221.97000122070312,214.19000244140625,214.9199981689453,214.9199981689453,2284700
2021-01-12,214.6199951171875,215.77999877929688,210.66000366210938,214.91000366210938,214.91000366210938,2468900
2021-01-13,214.2899932861328,217.1699981689453,213.89999389648438,216.4600067138672,216.4600067138672,2314800
2021-01-14,217.0,217.24000549316406,214.41000366210938,214.99000549316406,214.99000549316406,3735000
2021-01-15,214.99000549316406,220.4600067138672,214.22000122070312,219.88999938964844,219.88999938964844,2403900
2021-01-19,220.86000061035156,221.52000427246094,215.9600067138672,216.8800048828125,216.8800048828125,2536400
2021-01-20,217.75,223.60000610351562,216.0800018310547,222.77999877929688,222.77999877929688,2399000
2021-01-21,220.9499969482422,223.16000366210938,218.36000061035156,222.1999969482422,222.1999969482422,1736700
2021-01-22,222.10000610351562,225.0,221.86000061035156,223.9199981689453,223.9199981689453,2113900
2021-01-25,224.0,228.72999572753906,222.1300048828125,227.50999450683594,227.50999450683594,2401800
2021-01-26,227.83999633789062,232.99000549316406,224.30999755859375,232.2899932861328,232.2899932861328,2838700
2021-01-27,234.13999938964844,234.13999938964844,227.6199951171875,229.05999755859375,229.05999755859375,2763100
2021-01-28,227.7100067138672,232.9600067138672,226.61000061035156,228.30999755859375,228.30999755859375,2685600
2021-01-29,226.8699951171875,228.77999877929688,225.0800018310547,227.36000061035156,227.36000061035156,2700800
2021-02-01,229.1699981689453,235.67999267578125,225.9499969482422,235.57000732421875,235.57000732421875,2172100
2021-02-02,236.0800018310547,237.97999572753906,234.5800018310547,236.14999389648438,236.14999389648438,2045200
2021-02-03,234.75,235.52999877929688,230.77000427246094,232.30999755859375,232.30999755859375,2503000
2021-02-04,232.1300048828125,235.24000549316406,231.27999877929688,232.1999969482422,232.1999969482422,1934100
2021-02-05,232.63999938964844,234.97000122070312,231.6300048828125,232.99000549316406,232.99000549316406,1608900
